Job Title,City,Pay,PayUnit
Network Support Technician,"Longueuil, QC",Not available,
Cook,"Leduc, AB",15.85,HOUR
Restaurant Manager,"15 Gateway Blvd.Brampton, ONL6T 0H4",20.00,HOUR
Administrative Co-ordinator,"Laval, QC",to be discussed,
Factory Labourer - Manufacturing,"359, Boulevard St-JosephLaurier-Station, QCG0S 1N0",16.25,HOUR
"Technician, Forestry","New Richmond, QC",22.00,HOUR
Public Relations Officer,"Bolton, ON",30.33,HOUR
MT (massage Therapist),"Québec, QC",24.00,HOUR
Meat Packing Supervisor,"Scarborough, ON",27.00,HOUR
Vegetable Farm Worker,"BOX 87, 202 - 9th Street NERedcliff, ABT0J 2P0",15.42,HOUR
Toolmaker,"Saint-Jean-sur-Richelieu, QC",27.41,HOUR
Truck Driver,"Brampton, ON",24.50,HOUR
"Professor, University","Rouyn-Noranda, QC","68,766",YEAR
Parts Clerk,"Sherbrooke, QC",14.50,HOUR
Battery Acid Dumper,"Sainte-Sophie, QC",Not available,
Analyst-accountant,"Rivière-du-Loup, QC",Not available,
Receiving Clerk,"Québec, QC",to be discussed,
Construction Helper,"8255 120A StreetSurrey, BCV3W 1T2",23.00,HOUR
Office Administrator,"Abbotsford, BC",25.10,HOUR
Administrative Assistant,"12839  50th Street  NWEdmonton, ABT5A 4L8",25.45,HOUR
Marketing Co-ordinator,"Surrey, BC",29.00,HOUR
General Assembler And Light Machine Operator - Electronic Equipment Manufacturing,"Coaticook, QC",18.80,HOUR
Child Caregiver - Private Home,"Woodbridge, ON",15.00,HOUR
Cook,"Burnaby, BC",15.00,HOUR
Programmer Analyst,"Québec, QC",Not available,
"Project Manager, Construction","Building C2, 3911 Brandon StreetCalgary, ABT2G 4A7",30.00,HOUR
Delivery Driver,"Rimouski, QC","35,800",YEAR
Construction Project Manager,"Laval, QC",Not available,
Farm Equipment Operator,"Castor, AB",Not available,
Framing Carpenter,"Surrey, BC",28.00,HOUR
Critical Care Nurse,"North Vancouver, BC",35.53,HOUR
Multiple Punch Press Operator - Metal Fabrication,"Richmond, BC",Not available,
Construction Site Superintendent,"Pointe-aux-Outardes, QC",to be discussed,
Frozen Food Packer,"Etobicoke, ON",14.25,HOUR
Programmer Analyst,"Chicoutimi, QC",to be discussed,
Customer Service Cashier,"Shawinigan-Sud, QC",to be discussed,
Accounting Clerk,"Saint-Augustin-de-Desmaures, QC",Not available,
Production Clerk,"Boucherville, QC",Not available,
Warehouseperson,"Concord, ON",15.00,HOUR
"Lecturer, University","Waterloo, ON","80,000",YEAR
Assistant Manager - Retail,"Charlottetown, PE",14.00,HOUR
Electrical Mechanic,"Saint-Alphonse-de-Granby, QC",24.36,HOUR
Industrial Engineering And Manufacturing Technologists And Technicians,"Biggar, SK",DOE,
Forest Technician,"Québec, QC","40,000",YEAR
Administrative Assistant,"6120 Davies Rd NWEdmonton, ABT6E 4M9",25.45,HOUR
Security Services Sales Representative,"Mont-Tremblant, QC",500,WEEKLY
Office Administrator,"Scarborough, ON",26.00,HOUR
Baker,"Wyoming, ON",15.00,HOUR
Liquor Store Supervisor,"Pitt Meadows, BC",21.50,HOUR
Sales And Account Representatives - Wholesale Trade (non-technical),"Watson, SK",Not available,
Siding Installer,"Enfield, NS",500,WEEKLY
Swine Technician,"Ituna, SK","Competitive, DOQ",
Brick And Stone Mason,"Elora, ON",25.00,HOUR
Store Manager - Retail,"Trois-Rivières, QC",to be discussed,
CNC Machining Tool Operator,"Drummondville, QC",Not available,
Long Haul Truck Driver,"Mississauga, ON",$.50 per mile,
Grocery Clerk,"L'Assomption, QC",to be discussed,
Nurse,"Prince Albert, SK",35.99,HOUR
Supply Chain Logistics Manager,"Labrador City, NL",Not available,
Occupational Therapist (OT),"Box 340Flin Flon, MBR8A 1N2",34.45,HOUR
Extrusion Blow Moulding Operator,"Saint-Bruno, QC",18.00,HOUR
Labourer - Material Handling,"Sainte-Marie, QC",Not available,
"Handler, Materials","Saint-Antoine-de-Tilly, QC",18.18,HOUR
Other Financial Officers,"Regina, SK",Client Driven,
Oil-drilling Rig Mechanic,"701-10 Fort William PlaceSt. John's, NLA1C 1K4",51.95,HOUR
Cook,"Magog, QC",to be discussed,
Server - Food And Beverage Services,"Vancouver, BC",14.60,HOUR
Cook,"Calgary, AB",16.00,HOUR
Welder,"Sainte-Marie, QC",18.77,HOUR
Production Helper,"Hamilton, ON",Not available,
Customer Service Representative - Call Centre,"Sainte-Thècle, QC",to be discussed,
Nursing Technician,"Montréal, QC",Not available,
Production Senior Co-ordinator,"Saint-Jean-sur-Richelieu, QC",Not available,
Men's Clothing Salesperson - Retail,"Saint-Laurent, QC",to be discussed,
Store Manager - Retail,"Nanaimo, BC",29.00,HOUR
Specialty Foods Chef,"Winnipeg, MB",16.00,HOUR
Bookkeeper,"Surrey, BC",24.50,HOUR
Cook,"Brampton, ON",24.00,HOUR
Social Services Director,"Courtenay, BC",Not available,
Meat Counter Clerk,"Trois-Rivières, QC",Not available,
Tool And Equipment Rental Clerk,"Midland, ON",Not available,
Census Enumerator,"Athabasca, AB",17.83,HOUR
Nanny,"North York, ON",15.00,HOUR
Administrative Assistant,"Brampton, ON",23.00,HOUR
Web Developer,"Québec, QC",Not available,
Food Processing Quality Control Technician,"Saint-Laurent, QC",Not available,
Welder-assembler,"Jonquière, QC",to be discussed,
Carwash Supervisor,"603 WESTMOUNT ROADStrathmore, ABT1P 1W8",25.50,HOUR
"Carpenter, Renovation","3239 16 Ave NWEdmonton, ABT6T 0T8",30.00,HOUR
Liquor Store Supervisor,"4900 24 St Vernon, BCV1T 8X2",18.40,HOUR
Nanny,"Abbotsford, BC",14.60,HOUR
Construction Labourer,"Kirkland, QC",16.00,HOUR
"Assistant Manager, Restaurant","115 Montreal RoadVanier, ONK1L 6E8",18.50,HOUR
Marketing Assistant,"Surrey, BC",29.50,HOUR
Bakery Clerk,"New Minas, NS",Not available,
Carpenter,"Barrington, NS",20.50,HOUR
"Driver, Truck","600 HARROP DRIVEMilton, ONL9T 3H3",24.75,HOUR
"Analyst, Management Information Systems (MIS)","Québec, QC",Not available,
Administrative Clerk,"Lévis, QC",Not available,
Welder,"Chicoutimi, QC",17.00,HOUR
Housekeeping Attendant,"Yamachiche, QC",18.62,HOUR
Early Childhood Educator (E.C.E.),"Tottenham, ON",17.00,HOUR
Sales Associate,"Terrebonne, QC",Not available,
Greenskeeper Helper,"Saint-Laurent, QC",to be discussed,
Informatics Consultant,"Ottawa, ON",Not available,
"Mechanic, Refrigeration","Saint-Hyacinthe, QC",to be discussed,
School Bus Driver,"Timmins, ON",16.37,HOUR
"Supervisor, Customer Service Representatives - Financial Services","North York, ON",25.00,HOUR
Cook,"357 Mill StreetAngus, ONL0M 1B4",16.00,HOUR
Truck-trailer Driver,"Kitchener, ON",22.50,HOUR
Construction Manager,"#52 13370 78 AvenueSurrey, BCV3W 0H6",41.50,HOUR
Food Service Supervisor,"10860 100 AvenueGrande Prairie, ABT8V 7K1",600,WEEKLY
Specialist - E-media Advertising,"Coquitlam, BC",29.00,HOUR
Electrician,"Abbotsford, BC",28.00,HOUR
Automotive Parts Sales Representative - Wholesale (non-technical),"Abbotsford, BC",15.60,HOUR
Assistant Department Manager - Retail,"Boucherville, QC",to be discussed,
"Technical Assistant, Pharmacy","Montréal, QC",to be discussed,
"Inspector, Construction","Vancouver, BC",33.00,HOUR
Motel Managing Supervisor,"48 Joseph StParry Sound, ONP2A 2G5","30,000",YEAR
"Groomer, Pets","Québec, QC",to be discussed,
"Farm Worker, Fruit","1725 McDowell Rd East RR6Simcoe, ONN3Y 4K5",14.39,HOUR
"Host/hostess, Food Service","Toronto, ON",14.00,HOUR
Accounting Clerk,"Gatineau, QC",to be discussed,
"Mechanic, Small Engines","Howick, QC",18.00,HOUR
General Farm Worker,"921- Hwy 3AKeremeos, BCV0X 1N0",17.31,HOUR
Electronics Test Engineer,"Brossard, QC",Not available,
Naturopath,"Montréal, QC",to be discussed,
Hotel Manager,"10400 9 pth Winnipeg Beach, MBR0C 3G0",31.00,HOUR
Bookkeeper,"Edmonton, AB",26.00,HOUR
Retail Store Supervisor,"Surrey, BC",24.00,HOUR
Logistics Supervisor - Transportation,"5383 Schonsee Dr.Edmonton, ABT5Z 0H1",28.85,HOUR
Child Care Worker Assistant,"Montréal, QC",to be discussed,
Roofer Helper,"13385 84A AvenueSurrey, BCV3W 6Y6",24.00,HOUR
Student Recruiter - Post-secondary Education,"Riverview, NB",27.00,HOUR
Long Haul Tractor-trailer Driver,"Florenceville, NB",$.40 per mile,
Accounting Bookkeeper,"Saskatoon, SK",25.00,HOUR
Fast-food Preparer,"Sainte-Anne-des-Plaines, QC",Not available,
Domestic Housekeeper,"New Westminster, BC",Not available,
Registered Nurse (R.N.),"St. John's, NL",Not available,
Mechanics Foreman/woman,"Deer Lake, NL",27.00,HOUR
Freight Receiver Clerk,"Joliette, QC",Not available,
Informatics Security Analyst,"Québec, QC",Not available,
Supervising Chef,"Saint-Cyrille-de-Wendover, QC",to be discussed,
Cook,"Cache Creek, BC",15.00,HOUR
Office Manager,"117 West 5th Avenue Vancouver, BCV5Y 1H9",25.00,HOUR
Chef,"Ancaster, ON",22.00,HOUR
Cleaning Supervisor,"Surrey, BC",25.00,HOUR
Warehouseperson,"Vaughan, ON",16.50,HOUR
Cook,"141 Bentley Avenue suite Unit GNepean, ONK2E 6T7",16.00,HOUR
Welder,"Lévis, QC",to be discussed,
Capacity Planning Analyst,"Montréal, QC",to be discussed,
Delivery Driver,"Saint-Roch-de-l'Achigan, QC",500,WEEKLY
Computer Numerically Controlled (CNC) Machine Set-up Operator - Metal Machining,"Langley, BC",26.00,HOUR
Computer Projects Manager,"Québec, QC",Not available,
Greenhouse Worker,"Saint-Étienne-des-Grès, QC",Not available,
Insurance Sales Representative,"Baie-Saint-Paul, QC",Not available,
"Supervisor, Parts Clerks","12628-124 STREETEdmonton, ABT5L 0N7",28.85,HOUR
Cable Television Maintenance Technician,"Caraquet, NB","40,000",YEAR
Receptionist-telephone Operator,"Laval, QC",16.00,HOUR
Financial Services Representative,"Fredericton Junction, NB",Not available,
Production Helper - Food And Beverage Processing,"Plessisville, QC",18.50,HOUR
Store Manager - Retail,"Chicoutimi, QC",to be discussed,
Grocery Clerk,"Québec, QC",to be discussed,
Financial Analyst,"Kingsey Falls, QC",Not available,
Handyman/woman,"Hamilton, ON",18.00,HOUR
Sales And Account Representatives - Wholesale Trade (non-technical),"Saskatoon, SK",Not available,
Casualty Underwriter - Insurance,"Brossard, QC",Not available,
Nanny,"Surrey, BC",16.00,HOUR
Accounting Technician,"North Battleford, SK",Not available,
Delivery Driver,"Joliette, QC",Not available,
"Foreman/woman, Vineyard","6094 Black Sage RoadOliver, BCV0H 1T8",18.50,HOUR
Balloon Pilot,"Winnipeg, MB",625,WEEKLY
Chemical Laboratory Technician,"Longueuil, QC",Not available,
Cashier,"Burnaby, BC",16.00,HOUR
Industrial Plant Maintenance Mechanic,"Louiseville, QC",to be discussed,
Retail Store Supervisor,"11204 102 Ave NWEdmonton, ABT5K 0P4",20.00,HOUR
Biologist,"Saint-Bruno, QC",to be discussed,
"Labourer, General - Manufacturing","Frampton, QC",17.25,HOUR
Furniture Sales Consultant - Retail,"Whitehorse, YT",16.07,HOUR
Cook,"108 Riverstone RidgeFort McMurray, ABT9K 1S6",17.50,HOUR
Industrial Efficiency Engineer,"Saint-Bruno-de-Montarville, QC",Not available,
Warehouse Checker,"Dartmouth, NS",Not available,
Early Childhood Educators And Assistants,"Churchbridge, SK",dependent on education and experience,
Construction Equipment Mechanic,"Sorel-Tracy, QC",Not available,
Medical Orderly,"Trois-Rivières, QC",19.00,HOUR
Retail Salespersons,"Surrey, BC",16.00,HOUR
Ink Matcher,"Laval, QC",18.00,HOUR
Sales Assistant,"Val-d'Or, QC",17.00,HOUR
Food Service Supervisor,"Burnaby, BC",15.50,HOUR
Journeyman/woman Heavy-duty Equipment Mechanic,"Chambly, QC",Not available,
"Labourer, General - Manufacturing","Sainte-Élisabeth, QC",to be discussed,
Sales Secretary,"3785 TaschereauSaint-Hubert, QCJ4T 2G4",22.00,HOUR
Farm Supervisor,"6929 Veyaness RdSaanichton, BCV8M 1W1",18.50,HOUR
Bookkeeper,"4023 - 31 Steet NWEdmonton, ABT6T 1L3",25.65,HOUR
Registered Practical Nurse (R.P.N.),"Chatham, ON",26.00,HOUR
Early Childhood Educator - Special Needs,"Belleville, ON",17.00,HOUR
Photographer,"Unit 200 12732 80 Avenue Surrey, BCV3W 3A7",25.00,HOUR
Sales Associate,"Halifax, NS",Not available,
"Finisher And Repairer, Furniture","Québec, QC",to be discussed,
Housekeeping Aide,"Toronto, ON",16.00,HOUR
Dent Remover And Repairer - Automobile,"Montréal, QC",22.00,HOUR
Customer Service Agent,"Brossard, QC",Not available,
Field Supervisor - Occupational Health And Safety,"Fredericton, NB",Not available,
"Handler, Materials","Edmonton, AB",20.00,HOUR
Cashier Supervisor - Retail,"104 6th Avenue, NW suite BOX.NO.2602Slave Lake, ABT0G 2A1",21.00,HOUR
Early Childhood Education Worker,"390 Speedvale Ave. E.Guelph, ONN1E 1N5",19.15,HOUR
Nanny,"Vancouver, BC",14.60,HOUR
Child Caregiver - Private Home,"Burnaby, BC",14.60,HOUR
Electrical Equipment Engineer,"Valcourt, QC",26.70,HOUR
Parking Lot Attendant,"Barrie, ON",Not available,
Administrative Officer,"Winnipeg, MB",25.50,HOUR
"Operations Manager - Trade, Broadcasting And Other Services","Ottawa, ON",47.50,HOUR
"Assembler, Aluminum Doors And Windows","Saint-Léonard, QC",15.00,HOUR
Company Trainer,"Montréal, QC",Not available,
Restaurant Counter Attendant,"Shawinigan, QC",Not available,
Plumber Helper,"12646 92 AveSurrey, BCV3V 1H1",23.05,HOUR
"Assistant Manager, Restaurant","4926 Bathurst StreetNorth York, ONM2R 1N2",20.00,HOUR
"Operator, Lift Truck","Plessisville, QC",to be discussed,
Plant Manager,"740 Division Street Cobourg, ONK9A 4S3","100,000",YEAR
Cook,"Harrison Hot Springs, BC",26.00,HOUR
Concrete Mason,"1756 Morgan AvePort Coquitlam, BCV3C 1J7",25.30,HOUR
Chemical Processing Quality Control Technician,"Waterville, QC",Not available,
Heavy Equipment Mechanic,"Longueuil, QC",to be discussed,
Medical Office Secretary-receptionist,"Longueuil, QC",15.00,HOUR
Dairy Herdsperson,"Napanee, ON",16.35,HOUR
Food Service Supervisor,"Tsawwassen Mills, 5000 Canoe Pass WayDelta, BCV4M 4G8",15.00,HOUR
Registered Dental Hygienist,"Saint-Augustin-de-Desmaures, QC",to be discussed,
General Labourer - Manufacturing,"27049 Gloucester Way Langley, BCV4W 3Y3",16.00,HOUR
Furniture Mover,"Gatineau, QC",to be discussed,
"Cleaner, Light Duty","Whitehorse, YT",16.75,HOUR
Adult Education Program Officer,"2, promenade Marsellus suite 5Barrie, ONL4N 0Y4",19.23,HOUR
Bookkeeper,"Surrey, BC",22.50,HOUR
Office Supervisor,"Brampton, ON",26.00,HOUR
Construction Senior Project Manager,"Calgary, AB",Not available,
Carpenter,"Ottawa, ON",Not available,
"Operator, Lift Truck","Saint-Michel, QC",20.50,HOUR
Early Childhood Educator - Junior Kindergarten,"Boucherville, QC",to be discussed,
Systems Security Analyst,"Québec, QC",Not available,
Cheese Maker Helper,"Bécancour, QC",16.50,HOUR
"Technical Assistant, Pharmacy","Québec, QC",to be discussed,
Food Service Supervisor,"1907 11th aveRegina, SKS4P 0J2",13.60,HOUR
Electrical Mechanic,"Sainte-Perpétue, QC",to be discussed,
Fast-food Preparer,"Brossard, QC",13.10,HOUR
Shift Manager - Fast Food Restaurant,"3445 Semenyk Court, Mississauga, ON Mississauga, ONL5C 4P9",19.10,HOUR
Grounds Maintainer,"Boischatel, QC",16.87,HOUR
"Clerk, Customer Service","Anjou, QC",15.67,HOUR
Web Developer,"Montréal, QC","90,000",YEAR
Customer Service Agent,"Alma, QC",to be discussed,
Purchasing Manager,"Abbotsford, BC",43.00,HOUR
Food Service Supervisor,"2000 Airport Road North East Calgary, ABT2E 6W5",17.00,HOUR
Housekeeping Room Attendant,"Jasper, AB",15.00,HOUR
"Carpenter, Maintenance","Burnaby, BC",36.00,HOUR
Cook,"Halifax, NS",96.00,DAY
Forklift Operator,"Coquitlam, BC",20.00,HOUR
"Designer, Industrial","Sept-Îles, QC",to be discussed,
Food Service Attendant,"Ridgetown, ON",Not available,
Highway Maintenance Worker,"Watrous, SK",Not available,
Network Controller,"Kingston, ON","60,674",YEAR
Grocery Store Cashier,"Shawinigan, QC",13.10,HOUR
Corporate Chef,"Cabano, QC",to be discussed,
Bookkeeper,"Brampton, ON",24.50,HOUR
"Truck Driver, Long Haul","Mississauga, ON",21.00,HOUR
Architect,"Toronto, ON",Not available,
Construction Engineer,"Chicoutimi, QC","45,540",YEAR
Retail Store Supervisor,"10510 Torbram RoadBrampton, ONL6R 3N9",18.50,HOUR
Technical Salesperson - Wholesale,"Montréal, QC",24.00,HOUR
Lumber Kiln Operator,"Sainte-Anne-du-Sault, QC",to be discussed,
"Labourer, General - Manufacturing","Chambly, QC",16.00,HOUR
Medical Orderly,"Saint-Hyacinthe, QC",20.55,HOUR
Server - Food And Beverage Services,"36 Treasure DriveWestern Shore, NSB0J 3M0",12.95,HOUR
"Operator, Wood Saw - Woodworking","Danville, QC",to be discussed,
"Clerk, General Office","Edmonton, AB",16.00,HOUR
Dispatchers Supervisor,"10766 120th StreetSurrey, BCV3V 4G6",25.00,HOUR
Welder,"Québec, QC",19.00,HOUR
Farm Labourer,"Saint-Lin-Laurentides, QC",13.50,HOUR
Plumber Apprentice,"Mont-Tremblant, QC",Not available,
Food Service Supervisor,"Langley, BC",16.00,HOUR
Ironworker - Reinforcing Rebar,"Surrey, BC",32.61,HOUR
Civil Engineering Technician,"Mississauga, ON",Not available,
Engineering Service Project Manager,"Montréal, QC",Not available,
Assistant Department Manager - Retail,"Bromont, QC",Not available,
Landscape Worker,"Québec, QC",15.52,HOUR
Account Manager,"North Bay, ON",Not available,
Elementary School Teacher,"Pointe-aux-Trembles, QC","42,431",YEAR
Retail Store Supervisor,"North York, ON",23.00,HOUR
Rentals Agent,"Montréal, QC",Not available,
Stockroom Clerk - Retail,"Québec, QC",15.00,HOUR
Packager - Manufacturing,"Saint-Mathieu-de-Beloeil, QC",17.82,HOUR
Child Care Provider - Private Home,"Sainte-Marthe-sur-le-Lac, QC",524,WEEKLY
Farm Hand,"Dolbeau-Mistassini, QC",15.00,HOUR
Framing Carpenter,"Surrey, BC",28.50,HOUR
Housekeeping Attendant,"Trois-Rivières, QC",to be discussed,
Greenhouse Supervisor,"12658 - 57A AvenueSurrey, BCV3X 3H6",30.50,HOUR
System Administrator,"Montréal, QC",Not available,
Retail Sales Route Supervisor,"Powell River, BC",21.00,HOUR
Sales Consultant - Retail,"Longueuil, QC",Not available,
Engineering Service Project Manager,"Granby, QC",to be discussed,
"Developer, Software","Montréal, QC",Not available,
Home Child Care Provider,"Nobleton, ON",15.00,HOUR
Shipping Clerk,"Blainville, QC",to be discussed,
Delivery Driver,"Granby, QC",615,WEEKLY
Line Cook,"North York, ON",14.25,HOUR
3D Modeler,"Vancouver, BC",16.00,HOUR
Delivery Driver,"Québec, QC",to be discussed,
Retail Store Supervisor,"Leader, SK",17.00,HOUR
Marina Worker,"McKellar, ON",18.00,HOUR
Investment Consultant,"Laval, QC",Not available,
Web Developer,"Blainville, QC",28.00,HOUR
Painter,"Quispamsis, NB",12.00,HOUR
Continuing Care Assistant,"Halifax, NS",17.14,HOUR
Sales And Distribution Manager,"Etobicoke, ON",50.00,HOUR
Stucco Plasterer,"Surrey, BC",28.00,HOUR
Restaurant Manager,"New Westminster, BC",25.00,HOUR
Housekeeping Attendant,"Joliette, QC",13.70,HOUR
Construction Labourer,"Les Méchins, QC",to be discussed,
Cook,"Woodstock, ON",14.75,HOUR
Power Equipment Design Technician,"Saint-Georges, QC",to be discussed,
"Manager, Sales And Marketing","North York, ON",38.00,HOUR
Cook,"Edmonton, AB",16.50,HOUR
Bookkeeper,"Abbotsford, BC",25.00,HOUR
Administrative Assistant,"940 KingswayVancouver, BCV5V 3C4",25.00,HOUR
Software Developer,"Montréal, QC",Not available,
Housekeeping Attendant,"Sherbrooke, QC",to be discussed,
Web Developer,"Bromont, QC","50,000",YEAR
Heavy-duty Equipment Mechanics,"Weyburn, SK",Not available,
"Clerk, Front Desk - Hotel","Invermere, BC",16.50,HOUR
Housekeeping Room Attendant,"La Malbaie, QC",13.65,HOUR
Vinyl Lettering Artist,"Saint-Amable, QC",to be discussed,
Landscape Labourer,"Kanata, ON",17.00,HOUR
Department Manager - Retail,"Châteauguay, QC",Not available,
Cashier,"Prévost, QC",to be discussed,
Stock Keeper,"Québec, QC",Not available,
Press Brake Operator,"Lévis, QC",20.00,HOUR
Administrative Secretary,"Surrey, BC",24.00,HOUR
Dairy Hand,"Saint-Hyacinthe, QC",15.00,HOUR
Night Crew Leader - Retail Store,"Saint-Bruno-de-Montarville, QC",to be discussed,
Metal Locker Assembler,"Chambly, QC",17.50,HOUR
Nurse,"North Battleford, SK",37.08,HOUR
Food Service Supervisor,"800 West PenderVancouver, BCV6C 2V6",15.00,HOUR
Census Enumerator,"Rolling Hills, AB",17.83,HOUR
